,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
348,788.48022,160.88965,1375.1488,833.7832599999999,112.09906000000001,1117.51282,933.49103,151.60596,886.40265
349,797.10614,156.90857,1373.53772,844.8403900000001,108.38238999999999,1116.82251,944.7321199999999,151.70795,886.3297699999999
350,804.37531,152.82013,1371.80383,854.76495,104.88525,1115.73706,954.8017,151.81085,886.18213
351,810.04089,148.45313000000002,1369.9896199999998,863.62909,102.05731,1114.69177,963.78949,151.25146,886.0863
352,814.58826,143.53766000000002,1368.5062300000002,870.8570599999999,99.37756,1114.09399,971.0347300000001,150.29932,886.01685
353,818.3765900000001,138.49786,1367.78137,876.61896,96.61377,1114.01782,976.12506,148.93805,886.0352800000001
354,821.3380099999999,133.77356,1367.96704,880.9127199999999,94.05181999999999,1114.35022,980.0604900000001,147.27631,886.34644
355,823.5402799999999,128.98748999999998,1368.46594,883.63544,91.51514,1114.96472,983.03314,145.49243,886.7619599999999
356,825.03827,124.35229,1368.86096,885.8643800000001,89.23657,1115.47046,984.49457,143.61218,886.8915400000001
357,826.38361,120.60681000000001,1369.28125,887.7058099999999,86.85632,1115.68457,984.78302,141.97894,886.6107800000001
358,828.26184,117.30163999999999,1369.33142,888.9071,84.17999,1115.55054,984.5850199999999,140.63196000000002,886.14496
359,830.34015,114.27191,1369.0918,889.5989400000001,81.92846999999999,1115.01697,983.9772300000001,139.45502,885.26227
360,831.63171,111.98102,1368.93726,889.8956300000001,79.92139,1114.44873,982.5257,138.44952,884.0504800000001
361,832.2760000000001,109.94543,1368.64319,890.3183,78.16718,1113.90149,980.42218,137.35162,883.04266
362,833.28973,108.12053999999999,1368.27576,890.54529,76.90057,1113.42651,978.58649,136.12335,881.89526
363,834.14404,106.99486999999999,1368.0603,890.2558,76.03905999999999,1113.01135,976.81525,135.20238999999998,880.68329
364,834.43011,106.1319,1367.96863,889.8585199999999,75.57629,1112.5238,974.33929,134.45789,879.49994
365,834.74316,105.42401000000001,1368.00574,889.2426800000001,75.18524000000001,1112.19678,971.74469,133.79742,878.20831
366,834.54926,105.15143,1368.0136699999998,888.3335,75.0498,1111.9868199999999,969.44708,133.40546,877.42426
367,833.50433,104.74731,1367.9436,887.5412,75.18994,1111.9669199999998,967.2217400000001,133.25769,877.0625
368,832.17102,103.64624,1368.06213,886.69348,75.09204,1112.22681,965.15851,133.68335,876.83478
369,830.68372,102.23566,1368.1084,885.3508300000001,75.16058000000001,1112.2603800000002,963.1162699999999,134.42645,876.7467
370,828.99347,100.97778000000001,1367.89319,883.70282,75.42505,1112.17175,960.99774,135.39575,876.70209
371,827.12726,99.72461,1368.18896,881.85101,75.50073,1112.42822,958.8609,136.88353999999998,877.10193
372,824.89642,98.30865,1368.93311,879.99316,75.73076999999999,1112.8021199999998,956.9069199999999,138.53552,878.06879
373,822.50256,96.82001,1369.54248,878.4467800000001,76.01208000000001,1113.43018,955.30475,140.88055,879.13629
374,820.48364,95.66541,1370.40283,877.28516,76.50439,1114.31189,953.5626800000001,143.89166,879.99945
375,818.45105,94.68066,1371.20154,876.2655599999999,77.45196999999999,1114.93445,951.9423199999999,146.65015,881.19006
376,816.3212900000001,93.43304,1371.54358,874.9881,78.23309,1115.50745,951.2050199999999,149.91754,882.9494
377,814.2955900000001,92.13922,1371.7595199999998,873.82343,78.96814,1115.96008,950.5427900000001,153.8371,884.4487300000001
378,811.8695700000001,90.71746999999999,1371.73706,872.72699,79.86986999999999,1116.03931,949.3798199999999,157.50519,885.68524
379,809.62195,89.35126,1371.58765,871.50171,80.70111,1116.06152,948.34918,161.5202,886.85059
380,807.69531,88.20599,1371.29199,870.56989,81.8833,1115.85999,947.46869,166.3031,887.6638800000001
381,805.49542,86.94183000000001,1370.7309599999999,869.75085,83.58466,1115.4511699999998,946.3361199999999,171.46783,888.39996
382,803.69165,85.75055,1370.1779800000002,869.05798,85.54767,1114.94666,944.83844,177.28546,888.8493699999999
383,802.38269,84.92273,1369.22522,868.55023,88.19464,1113.93408,943.6497199999999,183.95886000000002,888.95349
384,801.14081,84.66601999999999,1367.66479,868.15839,91.63306,1112.6626,943.10321,191.40233999999998,889.24811
385,800.22015,84.75909,1365.97974,868.19922,95.47742,1111.24939,942.41449,200.06195,889.69989
386,799.78455,84.85436999999999,1364.3872099999999,868.6264,100.00623,1109.75012,941.6569199999999,209.82103999999998,890.4780300000001
387,799.85168,85.19904,1363.19214,869.1123,105.16711000000001,1109.0122099999999,940.8335599999999,220.00793,891.8798800000001
388,800.2681299999999,85.63501,1362.8071300000001,869.48468,110.78577,1109.11145,939.5849,230.87061,893.9929199999999
389,801.0907,85.81873,1363.0451699999999,870.15662,116.86211999999999,1109.53699,938.40802,242.34625,896.9585
390,802.55115,86.02289,1363.60583,871.12146,122.80536000000001,1110.2832,937.4363400000001,254.26812999999999,900.90948
391,804.36969,86.49127,1364.62109,872.06036,128.49323,1111.35913,936.10699,267.19342,905.7899199999999
392,806.5414400000001,87.06506,1365.69031,873.24115,134.27625,1112.52209,934.45563,281.14661,911.44739
393,809.18335,87.35175,1366.33862,874.89856,140.36566000000002,1113.71985,933.3019400000001,295.95788999999996,918.2573199999999
394,812.01233,87.62921,1366.8184800000001,877.2266199999999,146.46813999999998,1114.86572,932.4068,311.41443,926.30652
395,814.80872,88.35991999999999,1367.14917,879.5147699999999,152.13855,1115.73291,931.21332,327.15137000000004,935.4372599999999
396,817.83606,88.89587,1367.42822,881.6958,157.54523,1116.65527,929.82245,342.88562,945.9304199999999
397,821.39355,88.97925,1367.98535,884.59869,162.71533,1117.88574,928.3336800000001,358.1391,957.7484099999999
398,825.03632,89.07500999999999,1368.75854,887.6429400000001,167.81342,1119.38745,926.7393199999999,372.87604,970.6364699999999
399,828.73572,89.3078,1369.6554,890.52734,172.76111,1121.34985,924.52728,387.07587,984.85724
400,832.6842,89.68536,1370.6748,893.58405,177.00592,1123.3586400000002,922.2393199999999,400.39617999999996,1000.67566
401,836.6741900000001,90.16455,1371.84619,897.1542400000001,180.99078,1125.2078900000001,920.44427,412.72656,1017.4962199999999
402,840.8900800000001,90.67883,1373.07593,900.9168099999999,184.93066000000002,1127.44226,917.8535800000001,423.73224000000005,1034.75549
403,845.0293,91.23931999999999,1374.18787,903.9971300000001,188.72412,1129.78113,914.62408,433.49805,1052.40308
404,848.96057,91.85736,1375.06714,906.96234,193.07117,1132.02161,912.1796300000001,442.40552,1070.36707
405,852.89996,92.45239000000001,1375.46411,910.2235699999999,198.00391000000002,1134.4199199999998,909.9055800000001,450.37769000000003,1088.64209
406,856.24188,93.18884,1375.27319,913.4612400000001,203.03101,1136.6038800000001,907.28046,457.54425,1106.8953900000001
407,859.09961,93.96112,1374.76794,916.7040400000001,208.3869,1138.6807900000001,905.22479,463.89612,1124.62793
408,862.1948199999999,94.67169,1374.27075,919.4852900000001,214.31853999999998,1141.02612,903.30829,469.33495999999997,1141.6779800000002
